Title,rating,is_action,is_crime,is_music,is_drama,is_family,is_comedy,is_romance,is_fantasy,is_mystery,is_war,is_biography,is_history,is_thriller,is_adventure,is_horror,is_animation,is_sport,is_sci-fi,is_documentary,duration_m,log_box_office,star_score,special_day
Khoobsurat,5.3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,149.0,3.5428711288084322,1,0
Bulandi,5.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.0,2.873020010748429,1,1
Kaho Naa... Pyaar Hai,6.9,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,172.0,5.129695977998435,2,0
Dulhan Hum Le Jayenge,5.1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,158.0,4.2836283690981825,1,0
Phir Bhi Dil Hai Hindustani,6.2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,160.0,3.7323600874856044,1,0
Daku Ramkali,6.9,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,134.0,1.5592664319921605,0,0
Hera Pheri,8.2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,156.0,3.8687970009649493,1,0
Hadh Kar Di Aapne,5.3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,134.0,3.78195574639502,1,0
Chal Mere Bhai,4.7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,136.0,3.810909646648683,2,0
Jung,4.3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.0,3.172764173904268,1,0
Kya Kehna,5.8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,155.0,3.8536314390047464,2,0
Josh,6.1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.0,4.228786604414473,2,0
Bichhoo,5.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.0,3.7268973965999534,1,0
Hamara Dil Aapke Paas Hai,5.5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,165.0,4.044845766203402,2,0
Fiza,6.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,170.0,4.036842322136518,1,0
Mohabbatein,7.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,216.0,5.074310359661779,5,0
Kurukshetra,6.2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.0,3.7680347613885736,1,0
Zubeidaa,6.6,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,153.0,2.6192783070069483,0,0
Kasoor,6.1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,151.0,3.016408889538078,0,0
Chori Chori Chupke Chupke,5.5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,165.0,4.221022321214029,2,0
One 2 Ka 4,5.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.0,3.230070472779818,1,0
Ek Rishtaa: The Bond of Love,5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.0,4.189937600937334,2,0
Mujhe Kucch Kehna Hai,4.7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,135.0,4.161851326112967,1,0
Paagalpan,7.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,146.0,1.561622447915767,0,0
Lagaan: Once Upon a Time in India,8.1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,224.0,4.839975780251286,1,0
Gadar: Ek Prem Katha,7.3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,170.0,5.642396674105834,0,0
Yaadein...,4.2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,171.0,3.999534715105957,2,0
Aks,5.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,184.0,3.409653040099827,1,0
Pyaar Ishq Aur Mohabbat,4.2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,168.0,2.5757157513390645,0,0
Yeh Raaste Hain Pyaar Ke,4.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,149.0,3.380215557888507,3,0
Dil Chahta Hai,8.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,183.0,4.306898911982042,2,0
Lajja,6.6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.0,4.078115258279531,2,0
Ajnabee,6.3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.0,4.148084478238182,2,0
Chandni Bar,7.6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.0,2.769865549736974,0,0
Rehnaa Hai Terre Dil Mein,7.5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,160.0,3.053329929352403,2,1
Asoka,6.4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,180.0,3.76583980149913,2,1
Deewaanapan,4.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,153.0,2.978072254327797,0,1
Kabhi Khushi Kabhie Gham...,7.4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,210.0,5.32058421827672,5,1
Aamdani Atthanni Kharcha Rupaiya,4.9,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150.0,3.1518758285662827,0,1
Style,6.7,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,157.0,3.0253240519838207,0,0
Maa Tujhhe Salaam,3.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.0,3.8649928432702794,0,1
Haan Maine Bhi Pyaar Kiya,3.6,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,174.0,3.47539530826283,1,1
Tumko Na Bhool Paayenge,5.6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,160.0,3.635493454303686,1,1
