Title,URL,Genre,Release Date,Plot,Box Office (Cr.),director,actors,writers,duration,rating,Box_office_adjusted
Tuesdays and Fridays,https://www.imdb.com/title/tt9176102/,Comedy+Musical+Romance,2021-02-19,"To avoid the burden of commitment, a young lawyer and a writer agree to be romantic partners only two days a week. That won't get complicated - right?",0.22,Taranveer Singh,Shivam Bhaargava+Jhataleka+Mukesh Kapani,Taranveer Singh,PT1H46M,4.6,0.25728753993610226
The Girl on the Train,https://www.imdb.com/title/tt8907992/,Crime+Drama+Mystery,2021-02-26,"The story follows a recent divorcee who spends her daily commute fantasizing about a seemingly perfect couple who live in a house that her train passes daily, but something shocking happens there one day.",,Ribhu Dasgupta,Parineeti Chopra+Aditi Rao Hydari+Kirti Kulhari,Gaurav Shukla+Ribhu Dasgupta+Abhijeet Khuman,PT2H,4.0,
Mumbai Saga,https://www.imdb.com/title/tt10483386/,Action+Crime+History,2021-03-19,The plot of the movie is set in the era of the 80s and 90s which were marked as a transformed period of Mumbai.,16.53,Sanjay Gupta,John Abraham+Emraan Hashmi+Mahesh Manjrekar,,PT2H15M,5.8,19.33165015974441
Sandeep Aur Pinky Faraar,https://www.imdb.com/title/tt7094488/,Comedy+Crime+Drama,2021-03-19,"Sandeep, a bank executive and Pinky, a suspended cop, are marked for a kill. Phones tapped, accounts blocked, they escape but escaping is not freedom.",0.35,Dibakar Banerjee,Jaideep Ahlawat+Parineeti Chopra+Arjun Kapoor,,PT2H5M,6.3,0.4093210862619808
Silence: Can You Hear It,https://www.imdb.com/title/tt13698928/,Crime+Thriller,2021-03-26,"When everyone is hiding the truth, justice will thrive despite the silence. Prepare for a murder mystery that will keep you guessing till the end.",,Aban Bharucha Deohans,Sahil Vaid+Saurrabh Kushwaha+Pankaj Anand,,PT2H16M,6.6,
Haathi Mere Saathi,https://www.imdb.com/title/tt14852412/,Drama,2021-03-26,Watch the bond between humans and elephants with Bandevs story as he fights for the protection of his ele--friends. Witness the rage on 'Haathi Mere Saathi'.,3.5,Prabu Solomon,Bhuvan Arora+Sheeba Chaddha+Rana Daggubati,Prabu Solomon,PT2H6M,6.3,4.0932108626198085
Pagglait,https://www.imdb.com/title/tt11142762/,Comedy+Drama,2021-03-26,"Widowed soon after marriage, a young woman grapples with an inability to grieve, quirky relatives, and a startling discovery about her late husband.",,Umesh Bist,Sanya Malhotra+Sayani Gupta+Sheeba Chaddha,,PT1H54M,6.9,
Koi Jaane Na,https://www.imdb.com/title/tt13989310/,Thriller,2021-04-02,A heartbroken writer struggling with writer's block goes to a quiet hill station where he finds love again but uncovers a copycat serial killer who has mysteriously come alive and is killing everyone around him.,,Amin Hajee,Kunal Kapoor+Amyra Dastur+Elli Avrram,,PT2H21M,3.6,
Flight,https://www.imdb.com/title/tt14071150/,Action+Thriller,2021-04-02,"The movie follows the journey of Ranveer Malhotra, who against all the odds, has to face deadly obstacles on a plane in order to survive.",,Suraj Joshi,Mohit Chadda+Ishita Sharma+Pawan Malhotra,,PT1H56M,5.4,
The Song of Scorpions,https://www.imdb.com/title/tt5178120/,Drama,2021-04-06,"Aadam, a camel trader fell in love with Nooran, a tribal woman. But even before they can get to know each other better, Nooran is poisoned by a treachery that sets her on a perilous journey to avenge herself and find her song.",0.12,Anup Singh,Golshifteh Farahani+Irrfan Khan+Waheeda Rehman,,PT1H59M,6.0,0.14033865814696486
The Big Bull,https://www.imdb.com/title/tt9614452/,Biography+Crime+Drama,2021-04-08,The story of the film is based on real events of financial market that took place between 1990 and 2000 involving Harshad Mehta and his financial crimes.,,Kookie Gulati,Abhishek Bachchan+Nikita Dutta+Ileana D&apos;Cruz,,PT2H33M,5.6,
Hello Charlie,https://www.imdb.com/title/tt14260080/,Comedy,2021-04-09,"Charlie a young pizza delivery boy, who has been assigned the task to transport a gorilla from Mumbai to Diu. The adventures the unlikely duo get embroiled in along the way forms the crux of the plot.",,Pankaj Saraswat,Aadar Jain+Jackie Shroff+Shloka Pandit,Abhishek Khairkar+Pankaj Saraswat,PT1H42M,5.3,
Ajeeb Daastaans,https://www.imdb.com/title/tt14091818/,Drama+Romance,2021-04-16,Four shorts explore the surprising ways in which unexpected catalysts inflame the uncomfortable emotions simmering under fractured relationships.,,Neeraj Ghaywan,Fatima Sana Shaikh+Jaideep Ahlawat+Armaan Ralhan,Neeraj Ghaywan+Shashank Khaitan+Uzma Khan,PT2H22M,6.7,
B.A. Pass 3,https://www.imdb.com/title/tt14490618/,Drama+Romance,2021-05-01,BA Pass 3 narrates the story of a jobless Anshul and how his life changes upside down when he meets a married woman and gets into a relationship with her.,,Narendra Singh,Sunny Sachdeva+Armaan Sandhu+Ankita Sahu,Deep Chugh+Kritika Sachdeva+Narendra Singh,PT2H16M,4.9,
Radhe,https://www.imdb.com/title/tt10888594/,Action+Drama,2021-05-13,"An honest cop is determined to bring down a corrupt drug mafia, who targets youth to drive towards drug addiction.",0.05,Prabhu Deva,Salman Khan+Disha Patani+Randeep Hooda,,PT1H49M,1.8,0.05847444089456869
D Company,https://www.imdb.com/title/tt13847502/,Action+Crime+Thriller,2021-05-15,"The biggest saga of the year is about to unfold the dark side of India's underworld enterprise. The film will showcase the true story behind India's biggest underworld enterprise, D Company, a Mumbai based underworld gang headed by Dawood Ibrahim Kaskar.",,Ram Gopal Varma,Sandeep Bose+Abhilash Chaudhary+Gaurav Daagar,Hareesh M. Kotian+Ram Gopal Varma,PT1H31M,4.3,
Pari,https://www.imdb.com/title/tt14588236/,Thriller,2021-05-15,,28.96,Ish Sharma,Shubham Bhartiya+Ayesha Kapoor+Nisha Prashant,Kashish Bhardwaj+Ish Sharma,,7.7,33.86839616613419
Sardar Ka Grandson,https://www.imdb.com/title/tt11213600/,Comedy+Drama+Romance,2021-05-18,A devoted grandson embarks on a complicated and comic journey to fulfill his ailing grandmother's last wish.,,Kaashvi Nair,John Abraham+Rakul Preet Singh+Aditi Rao Hydari,,PT2H19M,4.3,
Galti,https://www.imdb.com/title/tt9464996/,Thriller,2021-06-04,"Galti is a 2019 Hindi erotic thriller film featuring Arun Kant Yadav, Mohan G Mahto and Anushka Shrivastava. The movie, directed by Bande Prasad and Produced by Mohan G Mahto and Santosh Vishwakrma under their banners Arts Productions and Om Art respectively. shoot in 35 days Nepal and Mumbai. It is based on the story of a girl living in a Ranchi, and two guys who fall in love with her.film released on 12 April 2019.",,Bande Prasad,Sachin Vishwakarma+Shrivastava Anushka+Kant Arun,A.B. Mohan,,6.0,
Sherni,https://www.imdb.com/title/tt10741542/,Action+Adventure+Drama,2021-06-18,An upright Forest Officer who strives for balance in a world of man-animal conflict while she also seeks her true calling in a hostile environment.,,Amit Masurkar,Vidya Balan+Vijay Raaz+Prateek Pachauri,,PT2H11M,6.8,
Haseen Dillruba,https://www.imdb.com/title/tt11027830/,Action+Drama+Thriller,2021-07-02,"Under investigation as a suspect in her husband's murder, a wife reveals details of their thorny marriage that seem to only further blur the truth.",,Vinil Mathew,Taapsee Pannu+Vikrant Massey+Harshvardhan Rane,,PT2H15M,6.9,
School Romance: Pure Love Web Series,https://www.imdb.com/title/tt21334388/,Romance,2021-07-03,,,Alfa Aryan,Shivaay Aryan+Sadhna Baksh+Riya Bhagat,Shefali Saxena,,,
State of Siege: Temple Attack,https://www.imdb.com/title/tt14418234/,Action+Thriller,2021-07-09,"Inspired by true events, the film narrates the heroic tale of NSG commandos, who step in to save innocent people when terrorists attack a temple in Gujarat.",,Ken Ghosh,Akshaye Khanna+Gautam Rode+Vivek Dahiya,,PT1H50M,7.6,
Collar Bomb,https://www.imdb.com/title/tt14922300/,Action+Thriller,2021-07-09,"A glorified cop's life is thrown into chaos as he is forced to commit a series of crimes before a suicide bomber blows up a school. As he races against time, he's confronted by an evil that is hell-bent on striking raw, primal terror.",,Dnyanesh Zoting,Jimmy Shergill+Sparsh Shrivastava+Rajshri Deshpande,,PT1H26M,5.1,
Toofaan,https://www.imdb.com/title/tt11045422/,Drama+Sport,2021-07-16,The story of a boxer and the struggles he faces on his journey to get to the national level competition.,,Rakeysh Omprakash Mehra,Farhan Akhtar+Mrunal Thakur+Paresh Rawal,,PT2H43M,6.1,
14 Phere,https://www.imdb.com/title/tt12887178/,Comedy+Romance,2021-07-23,"Sanjay, a Rajput from Jahanabad, is in love with Aditi, a Jat from Jaipur. They want to get married, but don't want to hurt their families. So they plan to get married by arranging a fake set of parents. Will they succeed?",,Devanshu Singh,Vikrant Massey+Kriti Kharbanda+Gauahar Khan,Manoj Kalwani,PT1H51M,6.3,
Hungama 2,https://www.imdb.com/title/tt8983220/,Comedy+Drama+Romance,2021-07-23,A sequel of the 2003 film Hungama.,,Priyadarshan,Paresh Rawal+Meezaan Jafri+Shilpa Shetty Kundra,Anukalp Goswami+Manisha Korde+Abilash Nair,PT2H36M,3.2,
Mimi,https://www.imdb.com/title/tt10895576/,Action+Drama,2021-07-26,Mimi is introduced by Bhanu to an American couple as a surrogate in exchange for Rs 2 million. She decides to have the baby even when they change their mind and tells her parent that Bhanu is the father.,,Rajesh Bhatia,Kriti Sanon+Evelyn Edwards+Pankaj Tripathi,,PT2H12M,7.8,
Lihaaf: The Quilt,https://www.imdb.com/title/tt8371204/,Biography+Drama+History,2021-07-31,"The film is based on author Ismat Chughtai's celebrated masterpiece ""Lihaaf"" by the same name. The screenplay interweaves the Begum's strife in a loveless marriage with the court trial Ismat went through having faced charges of obscenity.",,Rahhat Shah Kazmi,Tannishtha Chatterjee+Sonal Sehgal+Virendra Saxena,Rahhat Shah Kazmi+Sonal Sehgal,PT1H24M,6.1,
Dial 100,https://www.imdb.com/title/tt13562940/,Action+Thriller,2021-08-06,"One night, while working at the Mumbai Police Emergency Call Centre, police officer Nikhil Sood gets a call from a hysterical woman who wants to commit suicide. Even as he tries to save her, Nikhil has no idea that it will lead to him endangering his own family as dark truths that he has been hiding threaten to destroy all that he loves and stands for.",,Renzil D&apos;Silva,Manoj Bajpayee+Neena Gupta+Sakshi Tanwar,,PT1H44M,5.9,
Shershaah,https://www.imdb.com/title/tt10295212/,Action+Drama+Thriller,2021-08-12,"Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999.",,Vishnuvardhan,Sidharth Malhotra+Kiara Advani+Shiv Panditt,,PT2H15M,8.3,
Bhuj: The Pride of India,https://www.imdb.com/title/tt10062556/,Action+Drama+History,2021-08-13,"During the Indo-Pakistani War of 1971, the Bhuj airbase is attacked and a race against time begins to rebuild the damaged airstrip.",,Abhishek Dudhaiya,Ajay Devgn+Sanjay Dutt+Sonakshi Sinha,,PT1H53M,4.2,
Badnaam,https://www.imdb.com/title/tt9043760/,Romance+Thriller,2021-08-13,"Desperate to leave her parents' house and start a new life with her boyfriend Kabir, Sonia agrees to deliver a mysterious package for her friend. Will her decision help her fulfill her desires.",,Krishna Bhatt,Mohit Sehgal+Priyal Gor+Barkha Bisht,,PT1H59M,6.7,
Bellbottom,https://www.imdb.com/title/tt11260832/,Action+Thriller,2021-08-19,"When an Indian commercial airliner is hijacked by terrorists in the mid 1980s, a government agent is tasked with rescuing the 210 hostages.",,Ranjit Tewari,Akshay Kumar+Vaani Kapoor+Huma Qureshi,,PT2H3M,6.1,
200: Halla Ho,https://www.imdb.com/title/tt15145772/,Crime+History+Thriller,2021-08-20,"Loosely based on a real incident, 200: Halla Ho is the story of women, terrorised by a mobster whose gang raped, robbed, terrorised and murdered 300 families for 15 years until he met his nemesis in a young Dalit girl.",,Sarthak Dasgupta,Ray Aksh+Saloni Batra+Apurva Choudhari,,PT1H55M,7.5,
Chehre,https://www.imdb.com/title/tt10309902/,Drama+Mystery+Thriller,2021-08-27,"An 80-year-old man with a penchant for real life games in a story about rights and wrongs. It's a story about the decisions one makes in their lifetime and the fact that every decision has its repercussions, hearing and judgment.",2.55,Rumi Jaffery,Amitabh Bachchan+Emraan Hashmi+Krystle D&apos;Souza,,PT2H19M,6.2,2.982196485623003
Bhoot Police,https://www.imdb.com/title/tt10083640/,Comedy+Horror,2021-09-10,Two brothers whose job is to hunt and eradicate ghosts for money is assigned a project in a remote village,,Pavan Kirpalani,Saif Ali Khan+Arjun Kapoor+Jacqueline Fernandez,,PT2H9M,6.7,
Ankahi Kahaniya,https://www.imdb.com/title/tt15250998/,Drama+Romance,2021-09-17,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",,Abhishek Chaubey,Abhishek Banerjee+T.J. Bhanu+Nikhil Dwivedi,,PT1H50M,5.6,
Shiddat,https://www.imdb.com/title/tt11314148/,Action,2021-10-01,"A passionate love story involving two couples which highlights the contrast between a regular, mature yet egoistic husband and a unique, happy go lucky, enamored, overzealous boy chasing after the love of his life.",,Kunal Deshmukh,Sunny Kaushal+Radhika Madan+Mohit Raina,,PT2H26M,7.6,
Rashmi Rocket,https://www.imdb.com/title/tt10895556/,Drama+Sport,2021-10-15,"A small-town girl overcomes all societal barriers to become a national-level athlete, but her glory is hindered when she is asked to undergo a gender test.",,Akarsh Khurana,Taapsee Pannu+Priyanshu Painyuli+Abhishek Banerjee,,PT2H9M,7.2,
Sanak,https://www.imdb.com/title/tt13912632/,Action+Thriller,2021-10-15,"Sanak is an action-thriller film, summarizing the emotion and journey of a lone hero, who fights overwhelming odds in a restricted environment, to save his wife and other unfortunates, helpless hostages, from the perils of evil.",,Kanishk Varma,Vidyut Jammwal+Kiran Karmarkar+Neha Dhupia,,PT1H56M,6.6,
Sardar Udham,https://www.imdb.com/title/tt10280296/,Action+Drama+Thriller,2021-10-16,"A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.",,Shoojit Sircar,Vicky Kaushal+Shaun Scott+Stephen Hogan,,PT2H44M,8.3,
Writing with Fire,https://www.imdb.com/title/tt13630174/,Documentary,2021-10-20,"In a cluttered news landscape dominated by men, emerges India's only newspaper run by Dalit women. Chief Reporter Meera and her journalists break traditions, redefining what it means to be powerful.",,Sushmit Ghosh,Meera Devi+Shyamkali Devi+Suneeta Prajapati,,PT1H32M,7.3,
Aafat-e-Ishq,https://www.imdb.com/title/tt12631660/,Comedy+Drama+Thriller,2021-10-29,"This ZEE5 Original film revolves around Lallo, a 30-year-old recluse girl who yearns for love. She works as a caretaker, and her life changes when she inherits her employer's property.",,Indrajit Nattoji,Neha Sharma+Ila Arun+Namit Das,,PT1H54M,4.4,
Dybbuk: The Curse Is Real,https://www.imdb.com/title/tt15715122/,Drama+Horror,2021-10-29,"Newly married couple Mahi and Sam acquire an antique Jewish box, unleashing paranormal events. They discover it contains an evil spirit and seek a rabbi's help before their child's birth.",,Jay.k,Emraan Hashmi+Nikita Dutta+Manav Kaul,,PT1H52M,5.1,
Hum Do Hamare Do,https://www.imdb.com/title/tt11816092/,Comedy,2021-10-29,Hum do Hamare do's story is about a couple who 'adopt' their parents.,,Abhishek Jain,Rajkummar Rao+Kriti Sanon+Paresh Rawal,,PT2H8M,6.0,
Ek Anjaan Rishtey Ka Guilt,https://www.imdb.com/title/tt32333879/,Romance,2021-11-05,"Saru is married to a police officer named Pratap. But Pratap's impotency creates a rift between Saru and him, owing to which Saru finds solace in the company of Pratap's childhood friend Sunil, and a love affair commences between them.",,Rajesh Khajuria,Fezan Khan+Sara Khan+Kusum Tikku,,PT1H5M,6.1,
Meenakshi Sundareshwar,https://www.imdb.com/title/tt13529034/,Comedy+Romance,2021-11-05,"Forced to live apart due to a unique job prospect, two newlyweds face the hassles, hiccups - and hilarity - that arise from their long distance marriage.",,Vivek Soni,Sanya Malhotra+Abhimanyu Dasani+Shivkumar Subramaniam,Vivek Soni+Aarsh Vora,PT2H20M,6.7,
Sooryavanshi,https://www.imdb.com/title/tt9531772/,Action+Crime+Drama,2021-11-05,"DCP Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India, tries to bring down a terrorist organization with which he has a history.",196.0,Rohit Shetty,Akshay Kumar+Katrina Kaif+Ajay Devgn,,PT2H25M,5.9,229.21980830670927
Bunty Aur Babli 2,https://www.imdb.com/title/tt10569922/,Comedy+Crime+Romance,2021-11-19,Bunty and Babli are forced out of retirement after a spate of robberies with their trademark sigil start appearing across India.,12.5,Varun V. Sharma,Saif Ali Khan+Rani Mukerji+Siddhant Chaturvedi,Varun V. Sharma+Aditya Chopra,PT2H18M,4.1,14.618610223642174
Dhamaka,https://www.imdb.com/title/tt13510660/,Action+Crime+Drama,2021-11-19,"Reassigned from TV to radio, a frustrated anchor sees both danger and opportunity when he receives threatening calls on the air.",,Ram Madhvani,Kartik Aaryan+Mrunal Thakur+Amruta Subhash,,PT1H43M,6.7,
Satyameva Jayate 2,https://www.imdb.com/title/tt10739666/,Action+Crime+Drama,2021-11-25,"Satyameva Jayate 2 revolves around the fight against injustice and misuse of power. From police and politicians to industrialists and a common man, the film will explore corruption in all spheres.",13.26,Milap Zaveri,John Abraham+Divya Khossla+Harsh Chhaya,,PT2H18M,3.4,15.507421725239617
Antim: The Final Truth,https://www.imdb.com/title/tt13491110/,Action+Crime+Drama,2021-11-26,The cop played by Salman fights the land mafia in the film.,39.06,Mahesh Manjrekar,Salman Khan+Aayush Sharma+Mahima Makwana,Mahesh Manjrekar+Abhijeet Shirish Deshpande+Siddharth Salvi,PT2H18M,6.1,45.68023322683707
Chhorii,https://www.imdb.com/title/tt12861212/,Action+Drama+Thriller,2021-11-26,Eight-month pregnant Sakshi must save herself and her unborn child from the evil within society and from the fear that lies in the paranormal world.,,Vishal Furia,Nushrratt Bharuccha+Mita Vashisht+Saurabh Goyal,,PT2H9M,6.7,
Tadap,https://www.imdb.com/title/tt10761694/,Action+Drama+Romance,2021-12-03,Unforeseen circumstances threaten the passionate relationship between star-crossed lovers.,,Milan Luthria,Ahan Shetty+Tara Sutaria+Saurabh Shukla,,PT2H6M,5.1,
Bob Biswas,https://www.imdb.com/title/tt8984572/,Action+Crime+Drama,2021-12-03,"Bob Biswas, an insurance agent, is released from hospital after eight years in a coma and is welcomed by his wife Mary and son Benny. He has lost his memory and does not remember the past.",,Diya Annapurna Ghosh,Abhishek Bachchan+Chitrangda Singh+Paran Banerjee,,PT2H11M,6.7,
Chandigarh Kare Aashiqui,https://www.imdb.com/title/tt12861850/,Crime+Drama,2021-12-10,"Manu, a bodybuilder from Chandigarh, India, falls in love with Maanvi, a Zumba instructor. All seems well until a shocking revelation causes turmoil in their love story.",28.26,Abhishek Kapoor,Ayushmann Khurrana+Vaani Kapoor+Yograj Singh,,PT1H57M,6.7,33.049753993610224
420 IPC,https://www.imdb.com/title/tt13723562/,Crime,2021-12-17,"In this ZEE5 Original film, CA Keswani is arrested for bank fraud and forgery. Keswani hires Birbal, a lawyer, to fight his case, but Birbal realises that there's more to it than meets the eye.",,Manish Gupta,Rohan Mehra+Vinay Pathak+Ranvir Shorey,,PT1H38M,6.5,
'83,https://www.imdb.com/title/tt7518786/,Biography+Drama+History,2021-12-24,"On June 25, 1983, the Lord's Cricket Ground witnessed 14 men beat the two times World Champions West Indies, putting India back onto the cricket world stage.",109.02,Kabir Khan,Ranveer Singh+Deepika Padukone+Tahir Raj Bhasin,,PT2H42M,7.5,127.49767092651757
Atrangi Re,https://www.imdb.com/title/tt9766332/,Comedy+Drama+Fantasy,2021-12-24,"A Tamil boy meets a girl from Bihar, what follows is a love story for the ages. A non-linear narrative of two romances running in parallel from different timelines.",,Aanand L. Rai,Dhanush+Rakesh Poonia+Sara Ali Khan,,PT2H18M,6.5,
The Silence of Swastika,https://www.imdb.com/title/tt16747572/,Documentary+History,2021-12-30,"Hitler used a symbol for his political and racial ideology. The world today calls that symbol ""Swastika"", an Indian name to a symbol used by Hindus, Buddhists, and Jains for ages. But was it a Swastika? or Something else?",,Anuj Bhardwaj,Suzanne Bernert,,PT56M,9.0,
Murder at Teesri Manzil 302,https://www.imdb.com/title/tt16750728/,Mystery+Thriller,2021-12-31,"A wealthy businessman's wife mysteriously disappears, and a team of investigating officers embark on a search for her. Will they be able to decipher what's going on?",,Navneet Baj Saini,Irrfan Khan+Ranvir Shorey+Deepal Shaw,,PT2H1M,4.1,
Looop Lapeta,https://www.imdb.com/title/tt8907974/,Action+Comedy+Crime,2022-02-04,"When her boyfriend loses a mobster's cash, Savi races against the clock to save the day if only she can break out of a curious cycle of dead ends.",,Aakash Bhatia,Taapsee Pannu+Tahir Raj Bhasin+Dibyendu Bhattacharya,,PT2H11M,5.2,
Badhaai Do,https://www.imdb.com/title/tt11934846/,Comedy+Crime+Drama,2022-02-11,Shardul Thakur Flaglot and Suman Singh enter into a marriage of convenience but chaos ensues when her unhinged girlfriend comes to stay with them.,20.62,Harshavardhan Kulkarni,Rajkummar Rao+Bhumi Pednekar+Chum Darang,Suman Adhikary+Akshat Ghildial+Harshavardhan Kulkarni,PT2H27M,7.0,22.949075706901795
Gehraiyaan,https://www.imdb.com/title/tt10733228/,Drama+Romance,2022-02-11,Takes you on a journey into the deep rooted intricacies of modern human relationships.,,Shakun Batra,Deepika Padukone+Ananya Panday+Naseeruddin Shah,,PT2H28M,5.8,
A Thursday,https://www.imdb.com/title/tt13028258/,Drama+Thriller,2022-02-17,"Naina, a playschool teacher, takes 16 students hostage. Rattling the police and the leaders, her demands send shockwaves through the country.",,Behzad Khambata,Yami Gautam+Atul Kulkarni+Neha Dhupia,,PT2H8M,7.6,
Love Hostel,https://www.imdb.com/title/tt13364468/,Crime+Romance+Thriller,2022-02-25,"Set against the pulsating backdrop of rustic North India, Love Hostel traces the volatile journey of a spirited young couple, being hunted by a ruthless mercenary.",,Shanker Raman,Bobby Deol+Vikrant Massey+Sanya Malhotra,,PT1H40M,5.8,
Gangubai Kathiawadi,https://www.imdb.com/title/tt10083340/,Action+Drama+Thriller,2022-02-25,"Duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in.",129.1,Sanjay Leela Bhansali,Alia Bhatt+Shantanu Maheshwari+Vijay Raaz,,PT2H32M,7.8,143.68213742778957
Jhund,https://www.imdb.com/title/tt8983228/,Biography+Drama+Sport,2022-03-04,"Based on the life of Vijay Barse, a retired sports teacher who founded an NGO called Slum Soccer. He managed to rehabilitate street kids by keeping them off drugs and crime by turning them into soccer players and building a whole team.",15.16,Nagraj Manjule,Amitabh Bachchan+Bharat Kumar Bhograt+Ankush Gedam,Nagraj Manjule,PT2H56M,7.4,16.87235633931286
Toolsidas Junior,https://www.imdb.com/title/tt13623916/,Drama+Family+Sport,2022-03-04,"Watching his father lose the 1994 Club Snooker Championship, 13-year-old Midi takes on the impossible journey to bring his father's name on the Winner's Board.",0.01,Mridul Toolsidas,Sanjay Dutt+Rajeev Kapoor+Varun Buddhadev,,PT2H12M,7.4,0.011129522651261782
Radhe Shyam,https://www.imdb.com/title/tt8960382/,Romance,2022-03-11,Love blooms between a doctor with an uncertain future and a renowned palmist who thought he would never find love. His beliefs are challenged.,19.3,K.K. Radhakrishna Kumar,Prabhas+Pooja Hegde+Bhagyashree Patwardhan,,PT2H18M,5.2,21.47997871693524
The Kashmir Files,https://www.imdb.com/title/tt10811166/,Action,2022-03-11,"A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth.",252.9,Vivek Agnihotri,Mithun Chakraborty+Anupam Kher+Darshan Kumaar,,PT2H50M,8.5,281.46562785041044
Jalsa,https://www.imdb.com/title/tt15361028/,Drama+Thriller,2022-03-18,It tells the story of a celebrated journalist and her cook and their conflict.,,Suresh Triveni,Vidya Balan+Shefali Shah+Rohini Hattangadi,,PT2H6M,6.6,
Bachchhan Paandey,https://www.imdb.com/title/tt10699086/,Action+Comedy+Crime,2022-03-18,"When a struggling filmmaker and actor set out to make a biography on one of the most dreaded gangsters, they have little idea about just how crazy and dangerous it's going to be.",49.98,Farhad Samji,Akshay Kumar+Kriti Sanon+Jacqueline Fernandez,,PT2H27M,5.0,55.625354211006375
Sharmaji Namkeen,https://www.imdb.com/title/tt9098938/,Comedy+Drama+Family,2022-03-31,A light-hearted coming-of-age story of a lovable 60-year-old-man.,,Hitesh Bhatia,Rishi Kapoor+Paresh Rawal+Juhi Chawla,,PT1H59M,7.5,
Kaun Pravin Tambe?,https://www.imdb.com/title/tt18568902/,Biography+Drama+Sport,2022-04-01,"An indian cricketer who shows persistence and hardwork to achieve his ultimate goal of playing a Ranji Trophy. At the penultimate stage of the career at a age when it is believed people's career ends, he starts a new chapter of his life.",,Jayprad Desai,Shreyas Talpade+Ashish Vidyarthi+Parambrata Chattopadhyay,,PT2H14M,8.3,
Attack,https://www.imdb.com/title/tt7529298/,Action+Sci-Fi+Thriller,2022-04-01,Witness the rise of an army soldier as he realizes his destiny and comes to terms to becoming India's first super soldier created to combat terrorists as he fights his inner demons and outer enemies.,,Lakshya Raj Anand,John Abraham+Jacqueline Fernandez+Rakul Preet Singh,,PT2H1M,6.8,
Cobalt Blue,https://www.imdb.com/title/tt15314640/,Drama+Romance,2022-04-02,"When a brother and sister fall in love with the same man, ensuing events shatter a traditional Marathi family. Based on Sachin Kundalkar's novel.",,Sachin Kundalkar,Neelay Mehendale+Prateik Patil Babbar+Lovish Bhatia,,PT1H52M,6.5,
Dasvi,https://www.imdb.com/title/tt14107554/,Comedy+Drama,2022-04-07,"Jailed under a tough cop, an uneducated politician decides to spend his time studying for high school, while his scheming wife has plans of her own.",,Tushar Jalota,Abhishek Bachchan+Nimrat Kaur+Yami Gautam,,PT2H5M,7.4,
Hurdang,https://www.imdb.com/title/tt10919304/,Drama+Romance,2022-04-08,"Back in the 1990s, an aspiring IAS starts a rebellion against the caste-based reservation.",,Nikhil Nagesh Bhat,Sunny Kaushal+Nushrratt Bharuccha+Vijay Varma,,PT2H2M,5.3,
A Night of Knowing Nothing,https://www.imdb.com/title/tt14812784/,Documentary,2022-04-13,"L writes letters to her estranged lover. Through these letters, we get a glimpse into the drastic changes taking place around her. Merging reality with fiction, dreams, memories, fantasies and anxieties, an amorphous narrative unfolds.",,Payal Kapadia,Bhumisuta Das,,PT1H39M,7.3,
Jersey,https://www.imdb.com/title/tt5301942/,Drama+Sport,2022-04-22,A cricketer who quits cricket decides to revive his career at the age of 36 for his sons dream and prove his ability.,19.68,Gowtam Tinnanuri,Shahid Kapoor+Mrunal Thakur+Pankaj Kapur,,PT2H50M,7.3,21.902900577683184
Operation Romeo,https://www.imdb.com/title/tt18923048/,Drama+Mystery,2022-04-22,The film features the fears and stresses that youthful couples all over the nation experience because of the danger presented by moral policing.,,Shashant Shah,Sidhant Gupta+Vedika Pinto+Sharad Kelkar,,PT2H12M,6.4,
Heropanti 2,https://www.imdb.com/title/tt11873440/,Action+Comedy+Crime,2022-04-29,"Babloo Ranawat, a genius hacker, is tasked with tracking down Laila, the mastermind behind the world's largest cyber-crime yet to occur. Will Babloo be able to stop him?",24.45,Ahmed Khan,Kriti Sanon+Nawazuddin Siddiqui+Tara Sutaria,Rajat Arora+Sajid Nadiadwala+Jagdish Sharma,PT2H25M,2.3,27.211682882335055
Runway 34,https://www.imdb.com/title/tt11460992/,Action+Drama,2022-04-29,"Inspired by true incidents, ""Runway 34"" revolves around Captain Vikrant Khanna played by Ajay Devgn, a flying prodigy, whose flight takes a mysterious course after take-off from an international destination.",32.96,Ajay Devgn,Ajay Devgn+Amitabh Bachchan+Rakul Preet Singh,,PT2H25M,7.0,36.68290665855883
